epoch,state,net,range
1747375200,S3,-56.20,77.70
1747396800,S2,26.40,38.80
1747612800,S4,-11.80,43.80
1747634400,S2,20.10,28.80
1747656000,S3,-17.90,28.00
1747677600,S5,-4.20,16.90
1747699200,S1,-8.70,28.40
1747720800,S2,27.80,34.50
1747742400,S4,45.80,56.00
1747764000,S1,4.30,20.60
1747785600,S2,24.20,34.40
1747807200,S1,-4.60,16.80
1747828800,S1,5.40,27.40
1747850400,S1,2.90,13.00
1747872000,S1,11.80,25.90
1747893600,S4,-19.50,55.00
1747915200,S3,-18.80,38.20
1747936800,S1,4.30,14.50
1747958400,S2,23.40,39.90
1747980000,S4,24.90,28.40
1748001600,S4,14.50,30.30
1748217600,S1,5.00,26.00
1748239200,S1,-13.70,23.90
1748260800,S5,8.20,17.70
1748304000,S3,-23.10,34.70
1748325600,S3,-35.80,41.60
1748347200,S2,13.50,20.70
